PersonId,MetricDate,Total Copilot actions taken,Total Copilot active days,Total Copilot enabled days,Copilot assisted hours,Intelligent recap actions taken,Organization,FunctionType,Region,Copilot actions taken in Word,Copilot actions taken in Excel,Copilot actions taken in Teams,Copilot actions taken in Outlook,Copilot actions taken in PowerPoint,Copilot actions taken in OneNote
P00001,2026-03-01 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-03-08 00:00:00,1,1,5,1.02,0,Contoso Ltd,Sales,APAC,0,0,0,1,0,0
P00001,2026-03-15 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-03-22 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-03-29 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-04-05 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-04-12 00:00:00,1,1,5,1.45,0,Contoso Ltd,Sales,APAC,1,0,0,0,0,0
P00001,2026-04-19 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-04-26 00:00:00,1,1,5,1.0,1,Contoso Ltd,Sales,APAC,1,0,0,0,0,0
P00001,2026-05-03 00:00:00,1,1,5,0.76,0,Contoso Ltd,Sales,APAC,1,0,0,0,0,0
P00001,2026-05-10 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-05-17 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-05-24 00:00:00,0,0,5,0,0,Contoso Ltd,Sales,APAC,0,0,0,0,0,0
P00001,2026-05-31 00:00:00,1,1,5,0.78,0,Contoso Ltd,Sales,APAC,0,0,1,0,0,0
P00002,2026-03-01 00:00:00,14,3,5,1.7,1,Contoso Ltd,Marketing,North America,1,3,1,3,2,4
P00002,2026-03-08 00:00:00,10,2,5,2.32,1,Contoso Ltd,Marketing,North America,0,3,2,2,2,1
P00002,2026-03-15 00:00:00,9,2,5,1.82,1,Contoso Ltd,Marketing,North America,1,2,1,2,2,1
P00002,2026-03-22 00:00:00,16,4,5,2.09,1,Contoso Ltd,Marketing,North America,1,3,1,4,3,4
P00002,2026-03-29 00:00:00,14,3,5,2.88,1,Contoso Ltd,Marketing,North America,1,2,1,3,3,4
P00002,2026-04-05 00:00:00,12,3,5,1.62,1,Contoso Ltd,Marketing,North America,1,2,2,3,3,1
P00002,2026-04-12 00:00:00,18,4,5,2.29,1,Contoso Ltd,Marketing,North America,1,3,1,5,4,4
P00002,2026-04-19 00:00:00,12,3,5,2.94,1,Contoso Ltd,Marketing,North America,0,1,1,3,3,4
P00002,2026-04-26 00:00:00,19,5,5,2.29,2,Contoso Ltd,Marketing,North America,1,4,1,5,4,4
P00002,2026-05-03 00:00:00,17,4,5,3.48,2,Contoso Ltd,Marketing,North America,1,3,2,4,4,3
P00002,2026-05-10 00:00:00,11,3,5,2.19,1,Contoso Ltd,Marketing,North America,0,2,0,3,3,3
P00002,2026-05-17 00:00:00,18,4,5,3.44,2,Contoso Ltd,Marketing,North America,1,3,1,4,4,5
P00002,2026-05-24 00:00:00,19,4,5,2.44,1,Contoso Ltd,Marketing,North America,1,4,2,4,4,4
P00002,2026-05-31 00:00:00,15,4,5,1.94,1,Contoso Ltd,Marketing,North America,1,2,1,4,4,3
P00003,2026-03-01 00:00:00,1,1,5,0.19,1,Contoso Ltd,Operations,North America,0,1,0,0,0,0
P00003,2026-03-08 00:00:00,0,0,5,0,0,Contoso Ltd,Operations,North America,0,0,0,0,0,0
