PersonId,MetricDate,Total Copilot actions taken,Total Copilot active days,Total Copilot enabled days,Copilot assisted hours,Intelligent recap actions taken,Organization,FunctionType,Region,Copilot actions taken in Word,Copilot actions taken in Excel,Copilot actions taken in Teams,Copilot actions taken in Outlook,Copilot actions taken in PowerPoint,Copilot actions taken in OneNote
P1,2025-01-06 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-01-13 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-01-20 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-01-27 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-02-03 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-02-10 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-02-17 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-02-24 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-03-03 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-03-10 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-03-17 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P1,2025-03-24 00:00:00,25,5,5,3.5,2,Contoso Ltd,Sales,North America,8,5,6,3,2,1
P2,2025-01-06 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-01-13 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-01-20 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-01-27 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-02-03 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-02-10 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-02-17 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-02-24 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-03-03 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-03-10 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-03-17 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P2,2025-03-24 00:00:00,12,4,5,1.5,1,Contoso Ltd,Engineering,North America,4,2,3,2,1,0
P3,2025-01-06 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-01-13 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-01-20 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-01-27 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-02-03 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-02-10 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-02-17 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-02-24 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
P3,2025-03-03 00:00:00,4,2,5,0.5,0,Contoso Ltd,Marketing,North America,2,1,1,0,0,0
