Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Contoso Ltd,190,33.9%,4.4,1.5,,2025-03-30 00:00:00
Contoso Ltd,191,25.4%,3.9,1.4,,2025-04-06 00:00:00
Contoso Ltd,193,25.9%,4.2,1.4,,2025-04-13 00:00:00
Contoso Ltd,195,27.8%,3.5,0.7,,2025-04-20 00:00:00
Contoso Ltd,197,19.1%,2.7,1.4,,2025-04-27 00:00:00
Contoso Ltd,198,35.5%,4.3,0.7,,2025-05-04 00:00:00
Contoso Ltd,200,33.8%,3.4,0.9,,2025-05-11 00:00:00
Contoso Ltd,202,25.3%,3.7,1.3,,2025-05-18 00:00:00
Contoso Ltd,204,34.4%,3.2,0.7,,2025-05-25 00:00:00
Contoso Ltd,205,28.0%,4.2,1.2,,2025-06-01 00:00:00
Contoso Ltd,207,25.0%,3.3,1.1,,2025-06-08 00:00:00
Contoso Ltd,209,30.0%,3.9,0.8,,2025-06-15 00:00:00
Contoso Ltd,211,26.8%,3.2,0.8,,2025-06-22 00:00:00
Contoso Ltd,212,25.2%,2.6,0.6,,2025-06-29 00:00:00
Contoso Ltd,214,25.5%,4.6,1.1,,2025-07-06 00:00:00
Contoso Ltd,216,27.1%,3.5,1.2,,2025-07-13 00:00:00
Contoso Ltd,218,38.9%,12.0,1.7,6.1%,2025-07-20 00:00:00
Contoso Ltd,219,52.5%,9.0,1.4,5.8%,2025-07-27 00:00:00
Contoso Ltd,221,57.0%,8.6,2.0,6.2%,2025-08-03 00:00:00
Contoso Ltd,223,33.8%,7.9,2.3,6.1%,2025-08-10 00:00:00
Contoso Ltd,225,42.8%,11.7,2.1,7.9%,2025-08-17 00:00:00
Contoso Ltd,226,55.4%,9.4,2.4,7.6%,2025-08-24 00:00:00
Contoso Ltd,228,44.8%,9.6,1.8,3.8%,2025-08-31 00:00:00
Contoso Ltd,230,40.5%,6.2,2.0,6.1%,2025-09-07 00:00:00
Contoso Ltd,232,55.7%,8.1,2.4,6.4%,2025-09-14 00:00:00
Contoso Ltd,233,45.4%,11.1,1.6,5.1%,2025-09-21 00:00:00
Contoso Ltd,235,53.3%,8.0,2.3,5.8%,2025-09-28 00:00:00
Contoso Ltd,237,37.9%,8.3,1.6,4.6%,2025-10-05 00:00:00
